Open to discussing flexible working arrangements at the interview stage?,In development
Employer is a Pay Equity Ambassador*,In development
Paid Parental Leave at full salary for primary carer (not including government-funded parental leave),12 Weeks
Paid Parental Leave at full salary for secondary carer,2 Weeks
Minimum tenure required to be eligible for Paid Parental Leave,12 Months
Continuation of superannuation payments whilst on paid Parental Leave,Yes
Continuation of superannuation payments whilst on unpaid Parental Leave,No
Programs for parents returning to work after Parental Leave,In development
Opportunities to purchase leave,No
Employee Assistance Program (EAP),Yes
Breastfeeding rooms,Yes
Leadership development programs,Yes
Mentoring opportunities,In development
Coaching programs,In development
Targets to raise the number of women in leadership,In development
Domestic and Family Violence policy,No
Internal Women's networking groups,Yes
Employee engagement scores year on year,68% (2017)Â 75% (2016)
Employee turnover rate,13%
Paid volunteer days,1 day per annum