Open to discussing flexible working arrangements at the interview stage?,undefined
Employer is a Pay Equity Ambassador*,undefined
Paid Parental Leave at full salary for primary carer (not including government-funded parental leave),undefined
Paid Parental Leave at full salary for secondary carer,undefined
Minimum tenure required to be eligible for Paid Parental Leave,undefined
Continuation of superannuation payments whilst on paid Parental Leave,undefined
Continuation of superannuation payments whilst on unpaid Parental Leave,undefined
Programs for parents returning to work after Parental Leave,undefined
Opportunities to purchase leave,undefined
Employee Assistance Program (EAP),undefined
Breastfeeding rooms,undefined
Leadership development programs,undefined
Mentoring opportunities,undefined
Coaching programs,undefined
Targets to raise the number of women in leadership,undefined
Domestic and Family Violence policy,undefined
Internal Women's networking groups,undefined
Employee engagement scores year on year,undefined
Employee turnover rate,undefined
Paid volunteer days,undefined